video_id,date,time,description,relevant
P04_12,10/05/2017,18:44:54,retrieve spices and continue cooking,True
P04_13,10/05/2017,18:47:48,continue cooking and spill rice,True
P04_14,10/05/2017,18:53:10,clean up spilt rice,False
P04_15,10/05/2017,18:54:58,check on food in pan,True
P04_16,10/05/2017,18:56:34,continue cooking - add stock,True
P04_17,10/05/2017,19:12:42,check on jambalaya and wash knife,True
P04_18,10/05/2017,19:15:18,wash chopping board and check on food,True
P04_19,10/05/2017,19:27:35,drink water and check on food,True
P04_20,10/05/2017,19:36:14,serve food,True
P04_21,10/05/2017,20:29:30,"put away leftover food, load and turn on dishwasher",False
P04_22,11/05/2017,08:07:50,toast spices,True
P04_23,11/05/2017,08:11:34,make massaman curry paste,True
P04_24,11/05/2017,08:30:06,continue making massaman curry,True
P04_25,11/05/2017,08:39:58,mix coconut milk and peel and chop potatoes for curry,True
P04_26,11/05/2017,08:46:24,chop chilli,False
P04_27,11/05/2017,08:47:06,continue chopping chilli,False
P04_28,11/05/2017,08:48:55,continue making curry,True
P04_29,11/05/2017,08:52:01,finish making curry and start assembling lunch,True
P04_30,11/05/2017,09:12:53,finish packing lunch and make breakfast,True
P04_31,11/05/2017,18:18:53,"unload dishwasher, check on curry, wash rice and prepare broccoli",True
P04_32,11/05/2017,19:15:24,check on and start serving food,True
P04_33,11/05/2017,19:16:23,finish serving food and put away leftover rice,True
P05_01,12/05/2017,09:03:02,"make tea with milk, pick up a banana and a muffin",False
P05_02,12/05/2017,19:44:26,"make microwaveable popcorn, pick up tortilla and dip",False
P05_03,12/05/2017,20:34:04,cook pasta and wash dishes,True
P05_04,13/05/2017,09:54:00,empty drainer and make tea with milk,False
P05_05,13/05/2017,20:45:25,"continue emptying drainer, heat milk and get cookie",False
P05_06,14/05/2017,10:54:46,make tea with milk and get cookie,False
P05_07,14/05/2017,17:56:54,cook dinner and wash dishes,True
P05_08,14/05/2017,20:21:40,"cook pasta with meat and vegetables, put in tupperwares and wash dishes",True
P05_09,15/05/2017,07:38:04,"prepare tea with milk and breakfast, and pack lunch",True
P06_01,13/05/2017,11:02:53,prepare cereal,True
P06_02,13/05/2017,11:12:13,put bowl and spoon in dishwasher,False
P06_03,13/05/2017,13:03:27,prepare pizza dough,True
P06_05,13/05/2017,15:30:37,prepare pizza,True
P06_07,13/05/2017,16:09:39,put first set of pizzas in the oven and prepare second set of pizzas,True
P06_08,18/05/2017,20:27:01,prepare chopping board and vegetables,True
P06_09,18/05/2017,20:28:00,cook chicken with vegetables,True
P06_10,18/05/2017,21:07:22,"check food, boil potatoes and chop carrots",True
P06_11,18/05/2017,21:22:11,boil carrots with potatoes and stir food,True
P06_12,18/05/2017,21:31:23,boil peas,True
P06_13,18/05/2017,21:40:01,serve food and put remainder in tupperware,True
P06_14,19/05/2017,10:09:45,prepare cereal,True
P07_01,13/05/2017,07:06:56,cook rice and clear kitchen,True
P07_02,13/05/2017,07:12:59,wash dishes and continue cooking rice,True
P07_03,13/05/2017,07:15:41,"finish cooking rice, put blackcurrant in tupperware and wash it, and wash dishes",True
P07_04,13/05/2017,10:02:30,"wash dishes, make coffee, cook eggs with ham and chilli sauce",True
P07_05,13/05/2017,22:40:00,wash dishes and drink water,False
P07_06,14/05/2017,11:22:58,wash dishes,False
P07_07,14/05/2017,11:26:02,wash dishes and make coffee,False
P07_08,14/05/2017,11:34:38,pour coffee and prepare tortilla with cheese and pepperoni,False
P07_09,14/05/2017,11:39:02,serve tortilla with sauce and prepare a second one,True
P07_10,14/05/2017,16:13:35,"cook rice with potato, fry chicken pieces and prepare tomato and onion salad",True
P07_11,14/05/2017,16:49:11,finish cooking and serve food,True
P07_12,14/05/2017,21:03:08,"put rest of food in tupperware, wash dishes and drink water",False
P07_13,14/05/2017,22:06:59,prepare cereal,True
P07_14,15/05/2017,09:26:19,"wash dishes, wash, cut and marinate chicken and prepare cereal",True
P07_15,15/05/2017,09:33:40,"fry chicken, wash knife and chopping board",True
P07_16,15/05/2017,09:35:57,"wash tupperware, finish frying chicken and prepare coffee with milk",True
P07_17,15/05/2017,09:39:51,pack lunch of yesterday's rice and potato with the fried chicken,True
P07_18,15/05/2017,20:54:07,prepare cereal,True
P08_01,16/05/2017,09:29:03,"prepare coffee with milk, and toast with avocado, tomato and goat cheese",True
P08_02,16/05/2017,10:12:26,"put dish and cutlery in washing machine, start washing machine and clean surfaces",False
P08_03,16/05/2017,15:31:54,empty shopping,False
P08_04,16/05/2017,15:38:18,unload washing machine,False
P08_05,16/05/2017,18:21:21,prepare veggie dinner,True
P08_06,16/05/2017,19:45:43,"put remaining food away, load dishwasher and clean surfaces",False
P08_07,16/05/2017,19:55:24,pour a glass of wine,False
P08_08,16/05/2017,22:40:52,"put glass in dishwasher, wash and cut pear with sauce",False
P08_09,17/05/2017,09:57:54,"prepare coffee with milk, and toast with avocado, tomato and spread cheese",True
P08_10,17/05/2017,10:38:53,clear and clean,False
P08_11,17/05/2017,10:51:40,load tablecloth in washing machine,False
P08_12,17/05/2017,11:52:52,check on washing and start the drying cycle,False
P08_13,17/05/2017,12:08:16,unload washing machine,False
P08_14,17/05/2017,12:12:45,prepare mint tea with lemon,False
P08_15,17/05/2017,18:36:57,cook chicken liver with rice,True
P08_16,17/05/2017,18:47:25,"continue cooking, add tomato and prepare eggs",True
P08_17,17/05/2017,19:08:54,"finish cooking the chicken, fry rice with eggs",True
P08_18,17/05/2017,19:54:16,"put away food remains, load and start the dishwasher, clean surfaces",False
P08_19,17/05/2017,20:08:36,prepare mint tea with lemon,False
P08_20,17/05/2017,22:36:30,prepare and cut kiwi,False
P08_21,18/05/2017,10:05:48,"unload dishwasher, prepare oat pancakes with grapes, yogurt and yummy sauce and prepare coffee",True
P08_22,18/05/2017,11:01:14,"load dishwasher, clear and clean surfaces",False
P08_23,18/05/2017,18:48:46,prepare salad with yoghurt and garlic sauce,True
P08_24,18/05/2017,19:32:39,cook and egg-fry potato and sweet potato,True
P08_25,18/05/2017,20:14:29,clear and load dishwasher,False
P08_26,18/05/2017,20:14:56,"continue loading dishwasher, clear and clean surfaces",False
P08_27,18/05/2017,22:22:07,wash and cut kiwi and pear,False
P08_28,18/05/2017,22:44:06,load dishwasher,False
P09_01,15/05/2017,19:28:02,picking kitchen objects,False
P09_02,16/05/2017,08:01:40,preparing omelette and porridge,True
P09_03,16/05/2017,08:31:23,washing dishes,False
P09_04,17/05/2017,07:53:13,preparing porridge and place pan on stove for omelette,True
P09_05,17/05/2017,07:55:16,"preparing omelette and porridge, and washing dishes",True
P09_06,17/05/2017,08:00:11,frying chicken,True
P09_07,18/05/2017,07:55:46,preparing protein shake,False
P09_08,19/05/2017,07:38:05,preparing porridge with blueberries and honey,True
P10_01,2017-05-18,22:26:59,cook dinner,True
P10_02,2017-05-19,07:48:15,"make pancakes, clean and wash dishes",True
P10_03,2017-05-25,17:16:51,cook dinner and wash dishes,True
P10_04,2017-05-27,11:57:40,"prepare lunch of fried fish, vegetables and rice, and wash dishes",True
P11_01,23/05/2017,18:06:45,washed the dishes,False
P11_02,23/05/2017,18:13:22,put away dishes,False
P11_03,23/05/2017,18:23:01,"set up whetstone for sharpening, take out laundry, load new laundry",False
P11_04,23/05/2017,18:26:53,sharpen knife,False
P11_05,23/05/2017,18:54:34,"make dinner, boil pasta, fry vegetables",True
P11_06,24/05/2017,06:39:44,make bowl of cereal,True
P11_07,24/05/2017,06:50:45,wash up bowl of cereal,False
P11_08,24/05/2017,17:50:55,put away shopping,False
P11_09,24/05/2017,18:04:45,prepare pizza for cooking,True
P11_10,24/05/2017,18:13:11,put pizza in oven,False
P11_11,24/05/2017,18:23:06,"remove pizza from oven, cut pizza",True
P11_12,24/05/2017,18:37:11,wash up plate,False
P11_13,25/05/2017,06:38:57,make bowl of cereal,True
P11_14,25/05/2017,06:50:58,wash up bowl of cereal,False
P11_15,25/05/2017,19:40:31,"prepare fish and leeks, put away dishes",True
P11_16,25/05/2017,19:54:37,"cook leeks and kale, do the laundry",True
P11_17,25/05/2017,20:00:55,"take salmon out of oven, strain vegetables, put in bowl and mix",False
P11_18,26/05/2017,06:39:14,make bowl of cereal,True
P11_19,28/05/2017,16:41:47,make hummus sandwich,True
P11_20,29/05/2017,19:50:48,prepare fish cakes and chop leeks,True
P11_21,29/05/2017,20:08:09,put kale into pot,False
P11_22,29/05/2017,20:10:59,"strain vegetables, remove fishcakes from oven",True
P11_23,30/05/2017,06:41:59,make bowl of cereal,True
P11_24,30/05/2017,18:14:36,"put away washing up, put new bag in bin",False
P12_01,27/05/2017,11:51:36,"make salad, pour juice, clean and put in dishwasher",True
P12_02,28/05/2017,15:52:44,"load washing machine, cook minced meat and cut cucumber",True
P12_03,28/05/2017,16:43:38,"boil and drain pasta sheets, prepare cucumber dip, continue cooking minced meat",True
P12_04,28/05/2017,17:48:03,"lay lasagne meat and pasta sheets, add mozzarella and cheese, add dip then additional sheets and garnish, cover with foil and put in oven. load dishwasher and serve cucumber with olive oil. wash some dishes and clean surfaces",True
P12_05,28/05/2017,18:30:53,check lasagne in oven,False
P12_06,28/05/2017,18:59:19,"pick up lasagne from oven, server and fill wine glass",True
P12_07,28/05/2017,21:36:38,"wash dishes, load dishwasher and clean surfaces",False
P12_08,29/05/2017,13:14:11,prepare healthy drinks,False
P13_01,10/06/2017,00:00:00,put water to boil and clean the dishes,False
P13_02,10/06/2017,00:00:00,prepare spaghetti,True
P13_03,10/06/2017,00:00:00,prepare spaghetti,True
P13_04,11/06/2017,00:00:00,prepare nesquik,False
P13_05,11/06/2017,00:00:00,prepare coffee and prepare salad,True
P13_06,11/06/2017,00:00:00,put pizza in oven,False
P13_07,11/06/2017,00:00:00,take pizza out of the oven and cut it,True
P13_08,12/06/2017,00:00:00,clean the dishes and prepare spaghetti carbonara,True
P13_09,12/06/2017,00:00:00,clean the dishes and prepare sausages,True
P13_10,12/06/2017,00:00:00,prepare hamburger with sausages,True
P14_01,19/06/2017,21:41:04,started making food for dinner,True
P14_02,19/06/2017,21:47:17,finished making food for dinner,True
P14_03,19/06/2017,23:44:49,broke a bowl,False
P14_04,19/06/2017,23:52:25,washing up,False
P14_05,20/06/2017,20:21:45,prepared a bowl of milk with cereals,True
P14_06,22/06/2017,08:37:31,prepared a bowl of milk with cereals,True
P14_07,22/06/2017,08:53:51,washing up,False
P14_08,22/06/2017,21:46:15,making food for dinner,True
P14_09,22/06/2017,23:39:06,washing up,False
P15_01,20/06/2017,11:14:02,serve breakfast cereals,True
P15_02,20/06/2017,10:51:01,clean up breakfast and start cooking,True
P15_03,28/06/2017,08:42:22,"finish cooking, pack lunch box and wash dishes",True
P15_04,21/06/2017,09:40:26,wash and chop vegetables,True
P15_05,21/06/2017,09:47:02,fry croissant,True
P15_06,21/06/2017,10:03:08,chop and fry food and prepare tea,True
P15_07,20/06/2017,11:28:43,heat up food,False
P15_08,22/06/2017,11:47:30,empty dishwasher and eat tacos,False
P15_09,22/06/2017,12:07:14,chop and fry vegetables,True
P15_10,28/06/2017,08:51:01,fry vegetables,True
P15_11,28/06/2017,08:57:16,fry vegetables,True
P15_12,28/06/2017,08:57:54,pack lunch box,True
P15_13,28/06/2017,09:01:47,wash dishes and chop vegetables,True
P16_01,01/07/2017,18:10:56,cooked instant noodles for lunch,True
P16_02,01/07/2017,22:16:30,poured milk into a cup,False
P16_03,03/07/2017,18:24:09,did the dishes after lunch,False
P16_04,03/07/2017,18:40:40,cooked meat soup for lunch,True
P17_01,08/07/2017,08:35:01,prepare instant noodle soup,True
P17_02,21/07/2017,18:00:11,prepare noodles with vegetables,True
P17_03,26/07/2017,10:33:29,boil dumplings,True
P17_04,31/07/2017,09:32:21,cook noodles and boil corn on the cob,True
P18_01,22/07/2017,08:24:24,prepare coffee and toast bread,True
P18_02,22/07/2017,08:32:35,"wash dishes, pour coffee and spread peanut butter on toast ",True
P18_03,22/07/2017,12:24:23,prepare salad,True
P18_04,23/07/2017,07:46:01,wash dishes and clean sink,False
P18_05,23/07/2017,17:28:36,"season meat and place in oven, measure rice",True
P18_06,23/07/2017,17:32:04,prepare coffee and oats,True
P18_07,23/07/2017,17:46:45,"empty drainer, measure pasta and wash dishes",True
P18_08,23/07/2017,17:32:04,boil pasta,True
P18_09,23/07/2017,17:46:45,"add sauce to pasta, serve and wash pan",True
P18_10,24/07/2017,07:54:55,prepare coffee and toast bread,True
P18_11,24/07/2017,20:43:03,"wash dishes, prepare salad, prepare toast with cheese and ham",True
P18_12,24/07/2017,21:04:05,wash dishes and drink water,False
P19_01,01/08/2017,09:36:45,made fried eggs with tomatoes and steamed rice,True
P19_02,01/08/2017,09:55:01,combine rice and fried eggs into one dish,True
P19_03,01/08/2017,10:11:13,wash dishes and pan,False
P19_04,03/08/2017,07:48:18,"made steamed noodles with beans, tomatoes, chicken",True
P19_05,03/08/2017,07:51:13,made milk with oatmeals,True
P19_06,04/08/2017,08:05:59,made fried egg and bacon,True
P20_01,31/07/2017,23:36:12,fry meat and prepare salad,True
P20_02,01/08/2017,00:14:44,clear and wash dishes,False
P20_03,01/08/2017,09:45:05,prepare cereal and toast with ham,True
P20_04,02/08/2017,23:33:43,skin and fry salmon,True
P20_05,03/08/2017,00:45:27,wash dishes,False
P20_06,03/08/2017,11:15:37,"prepare cereal, salad and toast with ham",True
P20_07,03/08/2017,11:29:56,wash dishes and clear table,False
P21_01,15/08/2017,00:00:00,"prepare tortilla with tomato and cheese, put grapes in cup and fill a glass of milk",True
P21_02,16/08/2017,00:00:00,"prepare tortilla with tomato and cheese, put grapes in cup and fill a glass of milk",True
P21_03,17/08/2017,00:00:00,"prepare tortilla with tomato and cheese, put grapes in cup and fill a glass of milk and put activia yoghurt on table",True
P21_04,18/08/2017,00:00:00,"prepare tortilla with tomato and cheese, put grapes in cup and fill a glass of milk and put activia yoghurt on table",True
P22_01,29/08/2017,09:28:00,"arrange the dishes, prepare breakfast",True
P22_02,29/08/2017,10:02:00,"clear the table, wash the dishes, clean",False
P22_03,29/08/2017,15:18:00,"wash the dishes, clean the kitchen",False
P22_04,29/08/2017,17:02:00,"arrange the dishes, prepare a snack",False
P22_05,30/08/2017,09:22:00,"wash the dishes, prepare breakfast",True
P22_06,30/08/2017,10:08:00,"clear the table, wash the dishes",False
P22_07,30/08/2017,14:21:00,"cook pasta with courgette, clean",True
P22_08,30/08/2017,15:17:00,"clear the table, wash the dishes, make coffee",False
P22_09,30/08/2017,17:26:00,"arrange the dishes, wash the dishes, clean the kitchen",False
P22_10,31/08/2017,00:45:00,wash the dishes,False
P22_11,31/08/2017,08:45:00,"arrange the dishes, prepare breakfast",True
P22_12,31/08/2017,08:57:00,prepare breakfast,True
P22_13,31/08/2017,09:45:00,"wash the dishes, clear the table",False
P22_14,31/08/2017,15:23:00,"make coffee, wash the dishes",False
P22_15,31/08/2017,15:53:00,"arrange the dishes, clear the table, wash the dishes",False
P22_16,31/08/2017,21:16:00,make dinner,True
P22_17,31/08/2017,22:19:00,"clear the table, wash the dishes, clean the kitchen",False
P23_01,27/09/2017,14:29:00,cutting onions to cook curry,True
P23_02,27/09/2017,14:53:00,cooking indian egg curry while cleaning dishes,True
P23_03,27/09/2017,21:32:00,preparing ingredients to cook chicken curry,True
P23_04,29/09/2017,21:50:00,cooking spicy indian chicken curry,True
P23_05,30/09/2017,16:02:00,preparing ingredients and cooking vegetable curry,True
P24_01,22/09/2017,09:38:00,prepare breakfast,True
P24_02,22/09/2017,22:25:00,prepare dinner,True
P24_03,22/09/2017,23:11:00,wash dishes,False
P24_04,07/10/2017,10:14:00,prepare breakfast,True
P24_05,07/10/2017,14:28:00,prepare lunch,True
P24_06,07/10/2017,15:22:00,wash dinner and clean oven,False
P24_07,07/10/2017,22:45:00,prepare dinner,True
P24_08,08/10/2017,14:54:00,prepare lunch and wash dishes,True
P24_09,08/10/2017,21:37:00,prepare dinner and wash dishes,True
P25_01,09/10/2017,15:07:00,start preparing lunch,True
P25_02,09/10/2017,15:21:00,continue preparing lunch,True
P25_03,09/10/2017,15:27:00,clean the kitchen,False
P25_04,09/10/2017,18:58:00,make coffee and clean the kitchen,False
P25_05,09/10/2017,22:08:00,"start preparing dinner, wash dishes and clean",True
P25_06,10/10/2017,15:18:00,"start preparing lunch, wash the cutlery",True
P25_07,10/10/2017,15:27:00,"continue preparing lunch, wash the dishes",True
P25_08,10/10/2017,15:34:00,"continue preparing lunch, wash the dishes",True
P25_09,11/10/2017,14:54:00,"start preparing lunch, wash the dishes",True
P25_10,11/10/2017,15:01:00,"continue preparing lunch, wash the pan",True
P25_11,11/10/2017,15:48:00,"prepare coffee, clean the kitchen",False
P25_12,11/10/2017,15:51:00,continue preparing coffee,False
P26_01,08/10/2017,16:33:00,start to prepare lunch,True
P26_02,08/10/2017,16:41:00,continue preparing lunch,True
P26_03,08/10/2017,17:01:00,wash dishes,False
P26_04,08/10/2017,22:49:00,start preparing dinner,True
P26_05,08/10/2017,22:58:00,continue preparing dinner,True
P26_06,08/10/2017,23:00:00,continue preparing dinner,True
P26_07,08/10/2017,23:02:00,continue preparing dinner,True
P26_08,08/10/2017,23:04:00,continue preparing dinner,True
P26_09,08/10/2017,23:15:00,continue preparing dinner,True
P26_10,09/10/2017,15:15:00,start preparing lunch,True
P26_11,09/10/2017,15:19:00,continue preparing lunch,True
P26_12,09/10/2017,15:21:00,continue preparing lunch,True
P26_13,09/10/2017,15:31:00,continue preparing lunch,True
P26_14,09/10/2017,15:33:00,continue preparing lunch,True
P26_15,09/10/2017,15:43:00,continue preparing lunch,True
P26_16,09/10/2017,15:45:00,continue preparing lunch,True
P26_17,09/10/2017,15:47:00,finish and serve lunch,True
P26_18,09/10/2017,16:22:00,wash dishes,False
P26_19,09/10/2017,16:30:00,wash dishes,False
P26_20,11/10/2017,15:26:00,start preparing lunch,True
P26_21,11/10/2017,15:34:00,continue preparing lunch,True
P26_22,11/10/2017,15:37:00,continue preparing lunch,True
P26_23,11/10/2017,15:40:00,continue preparing lunch,True
P26_24,11/10/2017,15:42:00,continue preparing lunch,True
P26_25,11/10/2017,15:45:00,continue preparing lunch,True
P26_26,11/10/2017,15:49:00,continue preparing lunch,True
P26_27,11/10/2017,15:51:00,continue preparing lunch,True
P26_28,11/10/2017,15:55:00,finish and serve lunch,True
P26_29,11/10/2017,16:19:00,clear kitchen,False
P26_30,12/10/2017,14:06:00,start preparing breakfast,True
P26_31,12/10/2017,14:08:00,continue preparing breakfast,True
P26_32,12/10/2017,14:11:00,continue preparing breakfast,True
P26_33,12/10/2017,14:12:00,continue preparing breakfast,True
P26_34,12/10/2017,14:15:00,continue preparing breakfast,True
P26_35,12/10/2017,15:56:00,start preparing lunch,True
P26_36,12/10/2017,16:04:00,continue preparing lunch,True
P26_37,12/10/2017,16:08:00,continue preparing lunch,True
P26_38,12/10/2017,16:14:00,continue preparing lunch,True
P26_39,12/10/2017,16:16:00,continue preparing lunch,True
P26_40,12/10/2017,16:18:00,continue preparing lunch,True
P26_41,12/10/2017,16:28:00,finish and serve lunch,True
P27_01,09/10/2017,10:44:00,wash dishes and prepare breakfast,True
P27_02,09/10/2017,10:48:00,prepare coffee and wash dishes,False
P27_03,09/10/2017,10:54:00,wash dishes and clear kitchen,False
P27_04,09/10/2017,10:55:00,wash dishes and clear kitchen,False
P27_05,10/10/2017,09:58:00,wash dishes,False
P27_06,11/10/2017,10:19:00,wash dishes and clear kitchen,False
P27_07,13/10/2017,10:15:00,"wash dishes, clear kitchen and prepare breakfast",True
P28_01,11/11/2017,15:58:00,"serve food, put remainder in tupperware, serve cheese and wash dishes",True
P28_02,11/11/2017,18:24:00,"empty drainer, wash dishes and clean surface",False
P28_03,12/11/2017,17:23:00,"prepare vegetables, peel and wash potato",True
P28_04,12/11/2017,17:52:00,cut vegetables,True
P28_05,12/11/2017,18:01:00,continue cutting vegetables and put in baking tray,True
P28_06,12/11/2017,18:14:00,"continue cutting vegetables, season and put into oven",True
P28_07,12/11/2017,18:40:00,check on food and stir,True
P28_08,12/11/2017,18:46:00,wash dishes,False
P28_09,13/11/2017,20:04:00,prepare avocado and tomato salad,True
P28_10,13/11/2017,20:06:00,heat bread in oven,True
P28_11,13/11/2017,20:11:00,fry sausage,True
P28_12,13/11/2017,20:14:00,serve sausage,True
P28_13,13/11/2017,20:18:00,fry eggs,True
P28_14,13/11/2017,20:23:00,"butter bread, serve and wash dishes",True
P28_15,14/11/2017,22:47:00,prepare vegetables,True
P28_16,14/11/2017,22:53:00,cut vegetables,True
P28_17,14/11/2017,22:54:00,prepare to cook quorn,True
P28_18,14/11/2017,22:57:00,prepare fajita wrap and read instructions,True
P28_19,14/11/2017,23:00:00,continue cutting vegetables and read instructions,True
P28_20,14/11/2017,23:03:00,fry quorn,True
P28_21,14/11/2017,23:08:00,fry vegetables and season,True
P28_22,14/11/2017,23:11:00,continue frying and stir,False
P28_23,14/11/2017,23:12:00,heat bread in microwave,True
P28_24,14/11/2017,23:13:00,cut tomato,False
P28_25,14/11/2017,23:20:00,fill fajita wraps,True
P28_26,14/11/2017,23:23:00,clear and wash dishes,False
P29_01,15/11/2017,19:59:33,cook spicy sausages with vegetables,True
P29_02,15/11/2017,20:31:21,finish cooking and serve with yoghurt,True
P29_03,19/11/2017,18:59:31,put dishes away and wash dishes,False
P29_04,20/11/2017,10:05:18,"put dishes away, prepare cereal and coffee",True
P29_05,21/11/2017,19:35:07,"wash dishes, boil potato and place in baking tray, place chicken in baking tray",True
P29_06,21/11/2017,20:21:46,get potato and chicken out of oven and serve,True
P30_01,09/11/2017,18:49:35,check freezer,False
P30_02,09/11/2017,18:55:39,toast and butter bread. prepare carrots with hummus dip. dip one carrot and eat.,True
P30_03,10/11/2017,09:16:30,"wash dishes, toast bread with olive oil, balsamic and salt. prepare coffee, load and start washing machine, serve and clean surfaces",True
P30_04,10/11/2017,22:21:57,"wash and dry dishes, put clothes on airer",False
P30_05,11/11/2017,19:42:58,"cook fish with sauce and rice, and peel carrots",True
P30_06,11/11/2017,21:09:15,wash and dry dishes and prepare coffee,False
P30_07,12/11/2017,11:09:03,"make coffee and cereal, and clean surfaces",True
P30_08,12/11/2017,15:27:43,"cook pasta with sauce, make coffee and wash dishes",True
P30_09,12/11/2017,17:03:10,"make coffee, empty drainer and wash dishes",False
